aircraft_model,company,date,discount,flight_airport_arrive,flight_airport_away,flight_number,flight_time_arrive,flight_time_away,flight_transfer,flight_type,on_time_rate,price,refund_fee,spider,status,url,version
波音 737-800(中型),南方航空,20190414173330,经济舱2.0折,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥330,退改¥99起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
波音 737-800(中型),南方航空,20190414173330,经济舱2.0折,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥330,退改¥99起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
波音 737-800(中型),南方航空,20190414173330,经济舱2.0折,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥330,退改¥33起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
波音 737-800(中型),南方航空,20190414173330,经济舱5.3折,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥890,退改¥267起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
波音 737-800(中型),南方航空,20190414173330,折扣明珠经济舱,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥1280,退改¥128起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
波音 737-800(中型),南方航空,20190414173330,折扣公务舱,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥1030,退改¥103起,ctripspy,3张,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
波音 737-800(中型),南方航空,20190414173330,折扣公务舱,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥1030,退改¥103起,ctripspy,3张,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
波音 737-800(中型),南方航空,20190414173330,经济舱,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥1710,退改¥86起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
波音 737-800(中型),南方航空,20190414173330,公务舱,天河国际机场T3,浦东国际机场T2,CZ6172,08:50,06:45,,,93%,¥4280,退改¥214起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
空中客车 A321(中型),吉祥航空,20190414173331,经济舱3.4折,天河国际机场T3,浦东国际机场T2,HO1073,10:05,07:55,,,-,¥580,提前改签免费,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
空中客车 A321(中型),吉祥航空,20190414173331,经济舱2.4折,天河国际机场T3,浦东国际机场T2,HO1073,10:05,07:55,,,-,¥400,退改¥160起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
空中客车 A321(中型),吉祥航空,20190414173331,经济舱2.4折,天河国际机场T3,浦东国际机场T2,HO1073,10:05,07:55,,,-,¥400,退改¥160起,ctripspy,,https://flights.ctrip.com/itinerary/oneway/sha-wuh?date=2019-04-21,0.1
